first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Shkodran,Mustafi,1,Mustafi,52,-3,2,0.3,1,3,6,170,0,1,0,4,0,0,0,0,35
Héctor,Bellerín,2,Bellerín,54,-1,2,0.2,1,3,1,262,0,0,0,6,2,0,0,0,26
Sead,Kolasinac,3,Kolasinac,52,-3,2,0.6,1,3,34,1086,0,2,2,18,3,0,0,1,219
Ainsley,Maitland-Niles,4,Maitland-Niles,46,-4,2,2.7,1,3,34,1120,0,2,3,18,3,1,0,3,206
Sokratis,Papastathopoulos,5,Sokratis,49,-1,2,1.5,1,3,52,1606,2,0,3,25,5,0,0,5,286
Nacho,Monreal,6,Monreal,50,0,2,0.3,1,3,10,270,0,0,1,4,0,0,0,1,54
Laurent,Koscielny,7,Koscielny,50,0,2,0.1,1,3,0,0,0,0,0,0,0,0,0,0,0
Konstantinos,Mavropanos,8,Mavropanos,44,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,9,Jenkinson,45,0,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Rob,Holding,10,Holding,45,0,2,0.1,1,3,1,76,0,0,0,2,0,0,0,0,9
Pierre-Emerick,Aubameyang,11,Aubameyang,108,-2,4,16.0,1,3,127,1943,14,3,4,31,3,1,0,24,484
Alexandre,Lacazette,12,Lacazette,93,-2,4,1.9,1,3,56,1024,5,3,1,16,5,0,0,6,183
Edward,Nketiah,13,Nketiah,43,-2,4,0.6,1,3,0,0,0,0,0,0,0,0,0,0,0
Bernd,Leno,14,Leno,50,0,1,5.3,1,3,77,1980,0,0,4,31,2,0,83,5,428
Mesut,Özil,15,Özil,72,-3,3,1.2,1,3,32,974,0,2,2,16,0,0,0,1,151
Henrikh,Mkhitaryan,16,Mkhitaryan,68,-2,3,0.8,1,3,4,110,0,0,1,0,1,0,0,0,3
Granit,Xhaka,18,Xhaka,51,-4,3,0.6,1,3,35,1364,0,1,4,20,4,0,0,0,202
Lucas,Torreira,19,Torreira,47,-3,3,1.3,1,3,35,1118,1,0,3,17,3,0,0,0,189
Mohamed,Elneny,20,Elneny,43,-2,3,0.7,1,3,0,0,0,0,0,0,0,0,0,0,0
Matteo,Guendouzi,21,Guendouzi,44,-1,3,6.1,1,3,40,1455,0,2,2,26,5,0,0,2,240
David,Luiz Moreira Marinho,106,David Luiz,57,-3,2,4.9,1,3,54,1710,2,0,3,27,4,0,0,6,303
Emiliano,Martínez,427,Martínez,43,-2,1,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0
Calum,Chambers,467,Chambers,44,-1,2,0.8,1,3,42,1102,1,1,3,15,5,0,0,5,197
Daniel,Ceballos Fernández,469,Ceballos,52,-3,3,3.1,1,3,27,659,0,2,1,10,0,0,0,3,130
Nicolas,Pépé,488,Pépé,91,-4,3,2.4,1,3,59,1169,3,3,2,21,3,0,0,5,203
Reiss,Nelson,489,Nelson,53,-2,3,0.1,1,3,18,437,0,1,2,4,1,0,0,0,56
Joseph,Willock,490,Willock,48,-2,3,0.2,1,3,20,544,0,0,1,11,1,0,0,0,88
Gabriel Teodoro,Martinelli Silva,504,Martinelli,45,0,4,1.5,1,3,21,386,1,1,1,6,1,0,0,1,69
Kieran,Tierney,515,Tierney,53,-2,2,0.4,1,3,5,296,0,0,0,6,1,0,0,0,51
Bukayo,Saka,541,Saka,45,0,3,0.5,1,3,20,695,0,1,2,7,3,0,0,0,82
Emile,Smith Rowe,576,Smith Rowe,44,-1,3,0.0,1,3,4,96,0,0,1,0,0,0,0,0,13
Tyreece,John-Jules,585,John-Jules,45,0,4,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Ahmed,El Mohamady,22,El Mohamady,42,-3,2,1.0,2,7,19,701,0,1,1,24,0,0,0,5,154
James,Chester,23,Chester,43,-2,2,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0
Neil,Taylor,24,Taylor,43,-2,2,0.2,2,7,17,793,0,0,2,19,2,0,0,0,113
Kortney,Hause,25,Hause,44,-1,2,0.1,2,7,9,540,0,0,1,15,1,0,0,0,72
Jonathan,Kodjia,26,Kodjia,54,-1,4,0.1,2,7,5,111,0,0,0,6,1,0,0,0,14
Ørjan,Nyland,27,Nyland,43,-2,1,0.3,2,7,3,177,0,0,0,8,0,0,8,0,34
Conor,Hourihane,28,Hourihane,57,-3,3,0.2,2,7,50,839,3,2,2,23,2,0,0,6,198
Jack,Grealish,29,Grealish,65,5,3,19.0,2,7,95,1793,6,6,4,39,6,0,0,11,386
Anwar,El Ghazi,30,El Ghazi,55,0,3,1.0,2,7,67,1313,4,4,4,31,3,0,0,0,209
John,McGinn,31,McGinn,55,0,3,3.3,2,7,61,1537,3,2,3,30,2,0,0,4,253
Andre,Green,32,Green,49,-1,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Birkir,Bjarnason,33,Bjarnason,45,0,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Keinan,Davis,34,Davis,43,-2,3,0.2,2,7,6,74,0,0,0,1,0,0,0,0,16
Henri,Lansbury,35,Lansbury,44,-1,3,0.4,2,7,11,189,0,0,0,6,0,0,0,0,34
José Ignacio,Peleteiro Romallo,36,Jota,58,-2,3,0.1,2,7,15,310,0,1,2,4,0,0,0,0,41
Tom,Heaton,94,Heaton,44,-1,1,3.8,2,7,59,1794,0,0,4,35,0,0,67,3,346
Daniel,Drinkwater,120,Drinkwater,44,-1,3,0.6,2,7,3,136,0,0,0,7,0,0,0,0,13
Matt,Targett,309,Targett,44,-1,2,1.0,2,7,49,1148,1,2,3,22,3,0,0,9,265
Wesley,Moraes,428,Wesley,56,-4,4,1.1,2,7,67,1782,5,1,6,31,3,0,0,7,180
Jed,Steer,429,Steer,44,-1,1,0.1,2,7,1,7,0,0,0,0,0,0,0,0,3
Tyrone,Mings,445,Mings,45,0,2,2.8,2,7,44,1552,1,1,3,32,3,0,0,3,298
Ezri,Konsa Ngoyo,452,Konsa,43,-2,2,0.1,2,7,21,825,0,1,2,21,0,0,0,0,150
Bjorn,Engels,455,Engels,45,0,2,0.5,2,7,34,1221,0,0,3,25,1,0,0,4,212
Frédéric,Guilbert,458,Guilbert,44,-1,2,0.7,2,7,43,1358,0,2,4,23,5,0,0,2,240
Mahmoud Ahmed,Ibrahim Hassan,465,Trézéguet,52,-3,3,1.2,2,7,50,1081,3,2,3,19,2,1,0,2,145
Douglas Luiz,Soares de Paulo,470,Douglas Luiz,44,-1,3,3.6,2,7,54,1295,2,1,5,29,2,0,0,4,221
Lovre,Kalinic,474,Kalinic,43,-2,1,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0
Marvelous,Nakamba,491,Nakamba,44,-1,3,0.8,2,7,26,1172,0,0,1,25,2,0,0,0,191
Indiana,Vassilev,600,Vassilev,45,0,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Steve,Cook,58,Steve Cook,50,0,2,0.3,3,91,46,1620,1,0,3,30,3,0,0,5,288
Nathan,Aké,59,Aké,48,-2,2,6.4,3,91,51,1474,1,1,3,24,1,0,0,5,307
Charlie,Daniels,60,Daniels,43,-2,2,0.1,3,91,3,126,0,0,0,2,0,0,0,0,18
Chris,Mepham,61,Mepham,43,-2,2,0.8,3,91,26,901,1,0,1,19,1,0,0,2,161
Simon,Francis,62,Francis,44,-1,2,0.0,3,91,11,548,0,0,1,14,1,1,0,1,98
Adam,Smith,63,Adam Smith,43,-2,2,0.4,3,91,32,927,0,1,3,15,3,0,0,3,173
Lloyd,Kelly,64,Kelly,44,-1,2,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Diego,Rico,65,Rico,44,4,2,13.4,3,91,51,1433,0,2,5,22,6,0,0,5,275
Jack,Simpson,66,Simpson,40,0,2,7.9,3,91,3,167,0,0,0,4,0,0,0,0,25
Callum,Wilson,67,Callum Wilson,74,-6,4,4.7,3,91,69,1716,5,3,3,34,4,0,0,4,210
Joshua,King,68,King,61,-4,4,3.5,3,91,58,1307,3,3,3,18,0,0,0,6,176
Dominic,Solanke,69,Solanke,52,-3,4,0.3,3,91,29,1040,0,0,1,23,1,0,0,0,43
Sam,Surridge,71,Surridge,43,-2,4,0.5,3,91,1,15,0,0,0,1,0,0,0,0,3
Asmir,Begovic,72,Begovic,42,-3,1,0.8,3,91,0,0,0,0,0,0,0,0,0,0,0
Artur,Boruc,73,Boruc,43,-2,1,0.3,3,91,0,0,0,0,0,0,0,0,0,0,0
Mark,Travers,74,Travers,42,-3,1,0.2,3,91,1,90,0,0,0,3,0,0,2,0,9
Ryan,Fraser,75,Fraser,69,-6,3,2.8,3,91,54,1508,1,3,4,25,2,0,0,2,211
David,Brooks,76,Brooks,63,-2,3,0.1,3,91,0,0,0,0,0,0,0,0,0,0,0
Junior,Stanislas,77,Stanislas,59,-1,3,0.0,3,91,3,106,0,0,0,2,0,0,0,0,16
Jordon,Ibe,78,Ibe,46,-4,3,0.2,3,91,2,48,0,0,0,1,0,0,0,0,10
Lewis,Cook,79,Lewis Cook,50,0,3,0.0,3,91,26,825,0,1,2,16,3,0,0,0,117
Andrew,Surman,80,Surman,47,-3,3,0.0,3,91,3,57,0,0,0,1,0,0,0,0,9
Dan,Gosling,81,Gosling,49,-1,3,0.1,3,91,25,520,2,0,1,9,1,0,0,1,88
Jefferson,Lerma,82,Lerma,48,-2,3,0.1,3,91,35,1556,0,1,3,26,8,0,0,2,227
Jack,Stacey,446,Stacey,43,-2,2,0.1,3,91,23,796,0,1,1,12,2,0,0,3,129
Philip,Billing,476,Billing,50,0,3,0.1,3,91,38,1532,0,1,5,24,7,0,0,2,220
Arnaut,Danjuma Groeneveld,492,Danjuma,58,-2,3,0.0,3,91,18,405,0,1,2,6,0,0,0,0,55
Aaron,Ramsdale,494,Ramsdale,47,2,1,5.6,3,91,77,1890,0,1,4,32,0,0,69,10,391
Harry,Wilson,505,Harry Wilson,59,-1,3,2.1,3,91,65,1077,6,0,2,22,1,0,0,5,205
Christian,Saydee,564,Saydee,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Gavin,Kilkenny,565,Kilkenny,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Mihai-Alexandru,Dobre,574,Dobre,45,0,3,0.0,3,91,0,0,0,0,0,0,0,0,0,0,0
Shane,Duffy,37,Duffy,48,-2,2,1.0,4,36,31,891,1,0,2,13,1,0,0,0,158
Martín,Montoya,38,Montoya,44,-1,2,0.7,4,36,52,1443,0,1,5,20,3,0,0,3,248
Bernardo,Fernandes da Silva Junior,39,Bernardo,43,-2,2,0.1,4,36,14,301,0,0,1,6,0,0,0,2,70
Leon,Balogun,40,Balogun,44,-1,2,0.1,4,36,0,0,0,0,0,0,0,0,0,0,0
Gaëtan,Bong,41,Bong,43,-2,2,0.1,4,36,3,57,0,0,0,3,0,0,0,0,15
Lewis,Dunk,42,Dunk,48,3,2,14.2,4,36,76,1800,2,3,5,26,7,0,0,11,398
Matthew,Clarke,43,Clarke,44,-1,2,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Glenn,Murray,44,Murray,54,-6,4,0.7,4,36,17,414,0,0,2,4,0,0,0,0,17
Jürgen,Locadia,45,Locadia,52,-3,4,0.1,4,36,3,85,0,0,1,1,0,0,0,0,5
Florin,Andone,46,Andone,48,-2,4,0.4,4,36,5,71,1,0,0,2,0,1,0,1,20
Mathew,Ryan,47,Ryan,48,3,1,17.9,4,36,84,1980,0,0,5,30,0,0,80,11,466
David,Button,48,Button,40,0,1,19.8,4,36,0,0,0,0,0,0,0,0,0,0,0
Pascal,Groß,49,Groß,64,-1,3,0.5,4,36,58,1267,1,5,3,19,2,0,0,5,252
Alireza,Jahanbakhsh,50,Jahanbakhsh,58,-2,3,0.1,4,36,19,188,2,0,1,1,0,0,0,2,59
José Heriberto,Izquierdo Mena,51,Izquierdo,54,-1,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Anthony,Knockaert,52,Knockaert,54,-1,3,0.0,4,36,0,0,0,0,0,0,0,0,0,0,0
Yves,Bissouma,53,Bissouma,50,0,3,0.0,4,36,13,402,0,0,1,5,1,0,0,0,65
Davy,Pröpper,54,Pröpper,49,-1,3,0.3,4,36,45,1710,1,1,4,26,3,0,0,0,258
Solomon,March,55,March,46,-4,3,0.2,4,36,21,598,0,1,2,10,1,0,0,3,88
Beram,Kayal,56,Kayal,43,-2,3,0.2,4,36,0,0,0,0,0,0,0,0,0,0,0
Dale,Stephens,57,Stephens,44,-1,3,2.1,4,36,42,1669,0,1,4,26,5,0,0,1,278
Leandro,Trossard,421,Trossard,58,-2,3,0.4,4,36,54,962,2,5,1,17,0,0,0,3,211
Dan,Burn,475,Burn,45,0,2,0.2,4,36,47,1821,0,0,5,29,3,0,0,0,313
Adam,Webster,493,Webster,44,-1,2,0.7,4,36,51,1475,3,0,2,24,2,0,0,5,294
Neal,Maupay,502,Maupay,58,-2,4,2.3,4,36,81,1626,7,1,5,22,2,0,0,12,229
Aaron,Mooy,516,Mooy,48,-2,3,0.6,4,36,41,1052,1,1,3,16,0,1,0,6,184
Aaron,Connolly,534,Connolly,44,-1,4,1.4,4,36,37,715,2,2,2,12,0,0,0,3,82
Tudor,Baluta,536,Baluta,40,0,2,0.2,4,36,0,0,0,0,0,0,0,0,0,0,0
Steven,Alzate,537,Alzate,45,0,3,0.1,4,36,27,964,0,0,3,14,1,0,0,0,152
